"GDP per capita, current prices (Purchasing power parity; international dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Marshall Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2111.009,2088.793,2056.072,2138.088,2369.428,2535.458,2531.49,2557.353,2646.273,2717.83,2868.467,2665.191,2790.664,2941.588,2987.286,3036.25,3244.546,3319.312,3491.223,3687.35,4034.922,4516.692,5205.762,5147.938,5400.653,5696.279,6032.772,6313.119,6500.968,6685.916,6859.479,7037.688,7221.972
Mauritania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2861.403,2878.972,2915.513,3073.36,2958.93,3225.557,3378.993,3206.175,3238.877,3309.31,3159.393,3113.258,3113.786,3299.035,3449.309,3757.369,4729.482,4631.526,4579.76,4493.124,4549.564,4715.713,4754.599,5098.713,4662.137,4585.9,5158.554,5636.414,5906.283,6059.049,5981.663,6164.359,6865.914,7296.944,7679.823,8069.819,8402.534,8843.987,9194.094,9364.904
Mauritius,2022.729,2309.859,2555.978,2641.852,2838.066,3103.669,3448.142,3863.701,4242.304,4570.375,5046.097,5389.67,5794.763,6160.11,6460.797,6820.17,7258.5,7706.509,8179.866,8404.679,9208.248,9641.747,9882.042,10603.145,11285.394,11738.64,12587.984,13607.347,14563.862,15099.317,15913.888,16877.465,17191.91,18106.861,18874.821,19743.891,21312.851,22148.852,23544.705,24635.287,21320.312,23095.908,26974.951,29881.946,32093.516,33863.575,35700.074,37588.753,39578.14,41681.157
Mexico,6360.632,7449.98,7723.18,7479.987,7842.62,8065.818,7737.344,7926.461,8140.691,8596.605,9207.367,9710.581,10095.755,10439.63,10936.632,10329.57,10994.631,11809.416,12502.472,12857.855,13632.044,13687.379,13673.375,13915.133,14603.84,15177.605,16167.223,16694.479,16908.439,15694.301,16423.969,17088.478,17815.336,17979.735,18624.22,18873.283,19888.382,20359.919,21031.626,21126.372,19407.67,21333.683,23558.948,24980.289,25962.872,26581.222,27392.781,28276.908,29204.56,30181.24
"Micronesia, Fed. States of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2043.785,2006.992,1910.293,1981.886,2027.822,2164.528,2259.684,2311.264,2405.004,2397.442,2536.803,2623.314,2661.695,2656.677,2716.605,2821.238,2965.431,2962.632,2903.637,2887.162,3061.595,3147.702,3300.88,3433.184,3669.484,3693.407,4028.843,4329.3,4526.894,4690.497,4855.578,5002.299,5138.006,5273.583,5411.972
Moldova,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4396.828,4458.579,3143.115,3166.683,3044.084,3156.583,2989.227,2933.162,3070.143,3337.469,3663.296,3994.175,4413.653,4907.774,5315.029,5636.029,6201.692,5871.827,6370.995,6882.486,7329.152,8345.09,8789.288,9221.849,10527.014,11361.9,12318.419,13211.405,12497.428,15157.194,15695.552,16733.609,17901.591,19443.562,21180.09,23074.602,25143.733,27392.547
Mongolia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3603.405,3301.764,3008.4,2954.627,3053.292,3266.955,3351.786,3494.136,3600.478,3710.642,3790.89,4007.205,4226.029,4571.945,5083.095,5519.401,6077.405,6692.309,7229.032,6991.132,7470.658,8781.925,10074.011,10375.299,10850.233,10441.614,10518.681,11137,12044.822,12704.066,12063.15,12625.715,13999.358,15322.4,16503.691,17576.738,18656.831,19784.136,20939.463,22166.803
Montenegro,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8269.729,8514.618,8775.99,9136.437,9777.575,10492.185,11731.315,12850.73,14016.467,13256.474,13754.637,14472.449,13872.81,14891.28,15404.81,16378.882,18244.533,19753.494,21227.797,22456.583,19266.479,22773.544,25453.768,27964.491,29695.785,31110.669,32631.609,34228.142,35903.503,37668.407
Morocco,1627.729,1688.455,1915.22,1933.253,2041.501,2187.259,2360.717,2303.064,2573.776,2675.797,2876.886,3138.007,3058.956,3044.96,3407.831,3211.167,3657.816,3595.118,3871.551,3893.218,3990.04,4329.365,4482.243,4795.574,5093.858,5340.413,5856.516,6099.813,6503.138,6736.158,6991.087,7418.128,7420.534,7673.534,7351.549,7905.333,7944.173,8193.228,8547.589,8850.103,8238.801,9215.158,9891.153,10460.277,10946.567,11403.168,11904.357,12432.844,12985.995,13574.057
Mozambique,214.689,240.892,232.723,199.772,190.521,196.516,195.186,229.825,258.013,284.49,293.925,315.498,287.915,314.13,328.316,330.481,361.389,400.108,435.491,481.522,483.098,541.859,586.043,621.955,670.968,714.745,787.29,846.648,897.336,930.579,977.611,1039.975,1056.885,1099.287,1155.906,1312.154,1378.761,1288.084,1327.6,1341.874,1304.562,1357.674,1475.572,1576.935,1648.555,1713.06,1765.496,1980.717,2202.46,2371.627
Myanmar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,744.084,806.667,915.103,1040.01,1149.473,1315.919,1547.522,1801.396,2091.353,2401.527,2615.968,2729.378,2887.35,3085.413,3454.362,3829.515,4130.258,4224.239,4141.472,4332.722,4679.907,5042.88,5013.393,4662.677,4763.166,5032.688,5202.559,5373.106,5558.017,5751.753,5954.149,6166.733
Namibia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4077.568,4259.013,4588.057,4471.918,4566.284,4717.251,4809.201,4939.377,4999.684,5081.567,5310.822,5554.596,5920.292,6144.782,6616.747,7018.582,7388.458,7858.62,8100.748,8054.022,8516.476,8999.744,9511.583,9901.42,10633.421,10792.674,10578.101,10316.885,10466.701,10358.701,9469.742,10069.168,11070.757,11627.311,12007.594,12321.014,12649.824,12989.891,13346.634,13713.755
Nauru,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3127.401,2981.183,2988.562,2959.228,5245.151,4896.165,4770.264,5466.684,6957.483,7026.417,7645.975,7580.587,7681.721,7178.985,7461.966,8619.523,8735.843,9607.123,10372.953,10607.73,10823.095,10945.453,11069.789,11165.881,11265.564,11353.221
Nepal,429.332,497.572,535.705,527.69,585.99,627.214,654.272,667.397,728.43,772.251,818.138,876.677,907.728,939.341,1013.132,1045.738,1098.172,1152.338,1176.607,1224.037,1305.806,1387.95,1390.26,1453.513,1543.197,1629.346,1720.794,1814.393,1949.986,2039.919,2153.43,2264.328,2474.084,2656.359,2887.632,2931.62,2925.532,3495.529,3804.509,4079.271,3964.236,4247.258,4720.921,4849.107,5032.425,5294.669,5576.878,5875.528,6191.547,6527.193
Netherlands,11708.456,12644.874,13182.334,13887.145,14780.3,15588.563,16314.169,16927.925,18204.097,19645.037,21107.205,22180.483,22865.652,23532.309,24592.726,25666.442,26927.834,28443.199,29938.216,31675.181,33532.307,34815.296,35172.843,35730.071,37267.794,39108.875,41637.322,44313.971,46015.356,44383.672,45280.548,46703.305,47341.62,49314.469,49337.709,50418.735,52440.793,55509.264,57784.544,59553.142,57577.804,63698.299,70666.878,72403.026,74157.652,75988.234,78441.68,81008.526,83547.498,86078.424
New Zealand,9176.284,10287.718,11150.795,11463.463,12565.292,12993.752,13373.643,13915.04,14353.205,14826.868,15204.852,15111.801,15401.091,16401.384,17452.442,18414.532,19212.095,19763.75,19893.376,20961.213,22207.233,23120.994,24183.439,25263.451,26793.412,28196.428,29531.633,31091.106,31311.593,30842.97,31402.234,32375.996,32733.736,35467.739,36995.898,36995.313,39254.649,40932.687,42564.434,43864.419,42970.489,47235.707,51622.579,52676.507,53797.252,55145.898,56843.44,58575.379,60386.255,62236.64
Nicaragua,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2191.738,2301.554,2425.482,2498.949,2569.106,2734.133,2852.972,2943.212,2951.03,3023.394,3205.628,3378.203,3589.251,3823.142,3978.532,3803.744,3969.4,4253.623,4346.664,4538.844,4878.746,5240.348,5650.551,5972.546,5843.019,5709.521,5732.171,6571.869,7223.191,7756.483,8136.83,8481.833,8851.947,9238.545,9642.219,10065.546
Niger,703.2,743.039,779.077,752.15,626.819,674.182,708.435,704.104,755.1,767.973,762.112,759.441,766.213,760.52,764.478,772.75,760.726,758.516,814.16,794.885,774.602,819.267,841.522,845.121,839.269,895.078,941.52,960.653,1015.76,1003.131,1060.87,1066.129,1156.135,1125.268,1138.765,1145.241,1148.283,1163.226,1225.571,1273.444,1286.613,1314.258,1516.743,1536.31,1674.659,1743.006,1813.729,1886.333,1964.702,2047.601
Nigeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1827.274,1831.41,1866.571,1892.806,1890.456,1917.884,1982.171,2023.546,2045.753,2034.115,2140.707,2276.931,2584.03,2813.142,3109.822,3344.509,3584.721,3848.624,4095.198,4347.339,4766.543,4967.821,5000.032,5225.167,5507.167,5426.346,5234.686,5190.363,5273.159,5341.31,5181.293,5476.719,5903.652,6139.901,6340.033,6482.852,6639.058,6823.982,7015.133,7212.934
North Macedonia ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5987.638,5642.42,5630.391,5651.614,5783.99,5944.407,6184.567,6515.948,6939.167,6855.264,7046.236,7327.923,7852.992,8463.912,9157.965,9998.656,10731.403,10739.072,11211.016,11689.924,11915.726,12727.36,13434.819,13892.007,15136.433,15646.319,16452.174,17378.454,16816.149,18409.972,20202.531,21154.073,22249.221,23479.453,24854.929,26311.935,27828.097,29352.436
Norway,14854.53,16460.606,17453.251,18803.274,20603.78,22363.724,23651.879,24520.357,25185.957,26367.695,27773.391,29430.842,30994.752,32439.067,34617.835,36630.803,38973.998,41546.46,42869.852,44052.255,46261.186,48081.96,49198.129,50359.674,53482.604,56242.175,58894.187,61596.539,62223.848,60687.228,61082.434,62209.636,65518.95,67157.438,66085.266,60557.792,59075.048,63310.252,64884.733,66306.043,65980.681,71298.094,77749.326,80143.731,82831.777,85397.393,87958.126,90493.648,92934.289,95484.561
Oman,9938.785,11759.129,13921.732,15575.833,17156.372,20269.379,19800.853,18335.482,19977.729,20192.717,25071.253,26520.627,28405.491,29834.386,30669.297,31924.609,32643.11,34506.783,35151.324,35114.251,37472.118,39407.957,39055.407,38309.814,39433.484,41036.164,43411.105,45842.175,49827.877,51337.4,51197.986,48920.74,49100.483,47045.252,44763.842,36735.474,33677.971,34082.445,34991.639,35053.511,35649.436,38073.549,39009.477,39691.243,39858.516,40517.626,41419.971,42216.681,42978.776,43793.528
Pakistan,941.8,1063.452,1179.666,1272.519,1333.592,1455.707,1537.873,1624.409,1744.273,1852.223,1953.168,2076.775,2226.008,2267.324,2356.097,2464.434,2609.474,2634.194,2690.845,2775.817,2880.044,2979.057,3030.305,3171.778,3423.486,3721.526,3956.122,4168.358,4330.767,4297.813,4341.239,4462.557,4621.587,4720.195,4823.183,4949.514,5048.852,5158.983,5476.594,5629.536,5539.004,6007.509,6693.737,6790.873,6955.122,7182.378,7497.599,7864.388,8249.285,8654.751
Palau,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8534.817,9161.323,9696.505,9477.824,10048.986,10616.232,11050.222,11675.203,11489.463,10974.704,11190.442,12118.748,12895.02,12971.206,13822.148,15021.235,15378.712,15080.289,15608.872,16047.651,15240.411,13768.079,14442.335,15089.435,17381.065,19795.876,20900.383,21743.796,22518.469,23347.621
Panama,3659.525,4270.531,4665.334,4524.469,4706.487,4982.637,5150.178,5071.887,4452.685,4602.441,5056.669,5599.48,6067.046,6414.014,6599.545,6716.936,7195.058,7635.897,8120.799,8384.317,8633.347,8700.85,8857.38,9232.543,9999.821,10848.58,11916.371,13475.432,14823.241,14839.934,15627.257,17458.641,19273.571,21482.131,23658.783,26195.719,28842.3,31622.182,33049.562,34213.361,28142.22,33630.401,39362.981,43218.427,44796.836,46378.457,48553.326,50832.019,53218.719,55728.633
Papua New Guinea,1073.998,1157.827,1211.706,1273.774,1278.622,1333.423,1407.587,1504.428,1556.337,1527.91,1470.798,1615.941,1743.601,1972.108,2168.425,2081.54,2201.191,2043.827,2109.467,2125.425,2068.109,2061.4,2040.351,2215.263,2234.379,2346.61,2423.197,2622.035,2604.24,2735.61,2891.934,2830.28,2861.53,2957.069,3344.289,3522.763,3674.918,3793.833,3790.848,3944.908,3791.334,2932.189,3233.319,3370.727,3534.354,3653.529,3772.143,3880.27,3993.199,4110.443
Paraguay,3533.011,4099.161,4166.841,4076.188,4215.999,4386.352,4348.447,4495.063,4775.735,5090.2,5498.259,5524.294,5631.121,5928.159,6249.205,6679.214,6770.373,7035.722,6977.251,6839.731,6696.142,6663.062,6642.295,6940.963,7288.363,7547.249,8018.648,8540.954,9122.737,9011.108,9975.53,10455.239,9957.426,10980.329,11355.137,11372.589,11907.055,12433.769,12941.262,12922.9,12807.213,13742.275,14536.735,15530.5,16290.776,16981.779,17671.857,18390.643,19139.046,19921.892
Peru,3073.921,3461.453,3575.51,3289.728,3456.475,3557.865,3977.781,4294.531,3939.807,3470.318,3348.088,3467.616,3459.151,3656.341,4116.524,4432.937,4556.642,4845.904,4795.741,4856.421,5027.598,5109.593,5414.446,5697.26,6087.643,6617.76,7279.522,8059.69,8907.697,9002.035,9799.274,10555.678,10936.691,11544.755,11816.649,11918.356,12451.592,12982.689,13550.025,13836.7,12306.001,14416.377,15673.802,15995.535,16630.792,17205.68,17755.74,18323.935,18910.703,19520.124
Philippines,1923.077,2123.469,2279.24,2353.567,2205.279,2057.872,2119.47,2210.381,2388.752,2575.052,2689.89,2705.692,2715.338,2775.118,2891.07,3017.327,3094.753,3237.986,3178.443,3260.76,3482.574,3592.079,3705.225,3891.078,4174.607,4432.374,4722.154,5072.764,5299.783,5316.347,5677.651,5919.231,6359.805,6687.843,7045.232,7278.232,7788.953,8199.054,8784.646,9343.445,8449.196,9220.362,10486.339,11339.592,12191.566,13034.324,13953.157,14955.44,16031.333,17199.939
Poland,4812.631,4698.907,4704.23,5089.843,5209.165,5539.857,5812.921,6063.09,6476.952,6980.546,6658.746,6385.003,6645.917,7073.894,7587.686,8268.007,8938.006,9728.895,10322.84,10940.569,11788.06,12201.742,12574.09,13279.125,14326.118,15300.211,16746.413,18429.958,19579.01,20246.961,21157.142,22658.7,23588.758,24305.613,25312.264,26816.293,28165.117,30054.831,32567.878,34591.68,34353.732,38540.486,43638.354,46411.512,49060.273,51749.256,54569.346,57380.412,60321.579,63452.377
Portugal,6061.157,6809.025,7341.161,7667.106,7830.894,8188.291,8622.618,9513.261,10385.467,11527.098,12926.499,13845.943,14616.115,14841.519,15342.844,15970.535,16769.785,17730.227,18696.871,19591.115,20653.717,21377.984,21758.113,21898.814,22835.087,23691.455,24774.109,26031.909,26579.775,25884.235,26641.727,26769.433,26438.145,27936.013,28742.318,29668.81,31604.416,33086.048,34864.133,36391.553,33776.078,37360.527,42703.544,45224.264,47070.31,48841.406,50885.963,52981.64,55148.49,57384.891
Puerto Rico,6926.362,7600.055,7756.972,8026.633,8842.818,9221.435,10074.403,10720.651,11695.703,12615.013,13445.624,14128.721,15007.93,15963.411,16861.3,17859.293,18457.86,19528.214,20852.929,21882.748,22938.036,25620.191,26548.807,27689.388,28992.986,29350.274,29955.509,30588.074,30782.397,30533.613,30933.166,31824.12,32582.631,33172.653,33682.717,34006.721,34300.2,34627.223,34933.428,36116.308,35512.59,36820.035,40676.264,42074.232,43218.932,44202.351,45397.529,47277.531,48800.651,50382.923
Qatar,85157.191,82692.908,74837.635,68715.494,77417.53,65759.417,66238.292,65713.996,68453.778,72099.374,54634.315,54634.179,61140.014,61730.198,63861.043,64645.232,67097.038,84389.443,90518.643,91630.415,96579.042,100141.592,105592.159,106798.577,119837.34,116875.806,130959.031,133474.841,118563.959,127890.222,145619.694,163740.318,169698.495,161194.263,143222.077,97846.475,84268.877,91742.857,93779.223,94670.892,91383.119,100150.402,104691.702,108569.918,112282.917,115958.887,124459.045,135722.494,142323.394,146641.277
Romania,5075.764,5528.591,6070.338,6659.57,7284.305,7473.24,7765.677,7976.348,8173.459,7972.488,7797.331,7029.626,6584.805,6881.538,7349.677,8087.387,8608.471,8270.774,8000.89,8058.985,8483.203,9137.033,10076.383,10616.022,12097.793,13144.38,14723.925,16313.886,18611.86,17862.357,17498.785,18754.947,19771.835,19641.439,20592.471,21570.408,23831.883,27020.78,29471.909,31312.072,30694.217,34158.955,38563.999,40839.286,43179.429,45794.663,48756.763,51926.155,55188.614,58607.943
Russian Federation,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12746.43,12482.837,10905.472,10198.099,9096.184,8908.037,8759.022,9047.614,8676.976,9387.309,10609.712,11448.39,12234.258,13454.307,14863.099,16371.999,18314.779,20454.405,21952.061,20353.873,21521.201,22798.659,24303.426,26073.873,25761.583,24085.324,24125.323,26006.051,27350.374,28433.535,28102.915,31278.712,32887.131,35401.386,38292.239,39761.79,41119.646,42535.565,44010.779,45555.065
Rwanda,413.458,447.295,446.52,474.07,541.74,564.266,587.079,579.643,581.383,550.962,560.739,538.229,586.438,573.264,367.094,494.292,568.116,634.263,636.78,602.106,649.973,702.753,787.752,801.342,853.253,940.342,1035.086,1119.93,1228.76,1286.613,1355.752,1464.656,1498.972,1554.989,1721.221,1822.528,1905.415,2003.901,2173.235,2363.367,2260.888,2562.583,2901.693,3156.297,3367.196,3587.059,3837.763,4104.887,4406.798,4734.317
Saint Kitts and Nevis,3015.988,3401.896,3847.142,3933.249,4491.792,4959.742,5540.497,6187.44,7119.452,7906.486,8725.547,9246.866,9663.319,10290.704,10932.365,11398.932,12135.844,13080.266,13188.967,13718.478,15176.969,16156.001,16531.857,16136.458,17177.437,19379.749,20541.698,21161.29,23908.332,23178.475,23412.998,24191.055,23159.862,24317.484,26462.809,26570.999,27931.899,29316.877,30620.1,32428.395,28113.124,29162.167,33933.249,36309.631,38869.736,41162.735,43458.76,45563.529,47685.507,49929.297
Saint Lucia,2282.985,2591.258,2773.377,2960.2,3266.722,3735.79,4293.271,4506.43,5241.721,5860.623,6594.693,6750.098,7343.373,7450.579,7630.434,7833.673,8123.726,8128.103,8658.13,8935.301,9070.92,8897.923,9006.321,9502.472,10391.235,10599.035,11559.028,12027.216,12776.555,12530.424,12654.2,13448.225,13289.7,13724.488,13991.184,13816.961,14608.656,15264.071,15994.986,16167.799,12471.975,14486.329,17824.443,18913.475,19718.436,20361.876,20980.284,21561.284,22158.817,22777.467
Saint Vincent and the Grenadines,1936.763,2183.265,2358.739,2510.815,2719.369,2904.609,3101.835,3178.269,3701.286,3952.024,4263.986,4471.534,4891.855,5181.054,5223.521,5688.441,5846.681,6162.313,6501.366,6723.904,6991.703,7255.021,7717.824,8342.777,8878.157,9353.719,10260.972,10851.992,11095.98,11015.279,10660.454,10801.668,10941.051,11482.471,11891.286,12035.302,13012.279,12975.244,13683.016,13993.653,13637.395,14358.751,16202.154,17819.532,19195.633,20274.016,21211.398,22171.334,23175.176,24229.317
Samoa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2687.816,2696.54,2883.982,3149.875,3360.157,3583.35,3769.601,4119.976,4309.957,4419.625,4633.778,4605.117,4743.381,4986.695,4848.074,4893.873,4982.72,5179.273,5597.522,5728.387,5728.879,5962.824,5924.82,5711.734,5743.248,6316.199,6720.534,6976.771,7198.312,7390.042,7574.3,7764.705
San Marino,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,62457.906,65223.147,68925.445,74863.809,75049.068,67001.716,63068.562,58183.641,54797.229,53898.349,55875.218,56137.697,58102.788,59522.01,61472.459,63447.517,59599.426,70983.341,79564.744,84107.22,86988.999,89406.122,91999.353,94671.222,97422.636,100274.079
Saudi Arabia,49608.63,52718.906,42257.894,35107.104,33025.842,29268.439,33272.208,30317.98,33809.765,33292.677,37890.01,42797.925,44380.757,43692.711,43753.221,43646.068,44476.951,44599.709,45245.787,43055.238,45344.743,44659.246,42972.808,47528.901,51373.898,54539.726,56344.622,57466.605,60678.498,58300.604,58883.802,63745.965,64420.943,61410.326,61683.74,52913.368,49229.788,52488.208,56841.491,58687.547,54627.763,61529.918,67732.375,68305.269,70332.619,74358.014,77227.643,79843.528,82147.233,84964.238
Senegal,1068.869,1196.643,1332.628,1274.061,1330.043,1375.746,1404.263,1481.08,1478.753,1551.046,1552.679,1600.783,1613.152,1624.912,1609.967,1697.898,1717.368,1751.602,1833.52,1925.116,1997.446,2079.865,2062.75,2166.826,2270.549,2381.004,2447.172,2517.125,2590.229,2606.202,2653.528,2669.517,2739.419,2742.421,2830.697,2971.347,3075.937,3203.906,3385.299,3503.261,3501.002,3796.703,4113.596,4319.814,4661.049,5086.859,5304.18,5530.726,5775.198,5959.195
Serbia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4808.919,5026.392,5985.757,6517.489,7134.913,7711.6,8230.222,9236.069,10082.745,10967.613,12038.867,13020.078,12793.707,13096.405,13742.301,13929.189,14624.103,14657.076,14932.417,15856.452,16621.466,17863.833,19052.456,19257.542,21902.271,24655.013,26304.889,27984.719,29866.235,31776.319,33806.829,35940.126,38207.862
Seychelles,4353.945,4525.745,4678.267,4837.362,5196.893,5865.338,5991.55,6171.688,6704.603,7638.4,8473.341,8882.652,9692.181,10426.971,10116.831,10227.548,11289.214,12733.881,12939.201,13107.933,13850.797,13828.905,13952.788,13381.229,13398.882,14995.014,16561.967,18687.148,18235.583,18076.035,18916.589,20947.836,21565.038,22369.391,24683.561,25100.59,28498.855,30378.852,32252.122,34274.25,30396.759,31694.342,38663.018,41179.996,43150.614,45172.489,47333.763,49568.867,51883.941,54290.039
Sierra Leone,782.77,852.015,901.864,901.268,944.258,890.694,889.944,913.75,945.224,1007.202,1045.672,988.029,913.263,939.47,997.536,917.588,701.365,584.85,580.29,530.902,548.577,639.217,785.704,836.313,876.224,909.01,945.861,1021.661,1071.809,1088.104,1134.371,1203.173,1405.478,1746.554,1787.656,1599.215,1678.271,1633.73,1692.502,1773.533,1725.404,1840.659,1997.227,2097.041,2188.541,2280.824,2379.764,2482.101,2589.222,2702.586
Singapore,9479.761,10959.236,11927.765,13281.537,14690.476,15040.081,15563.615,17407.726,19549.045,21732.018,23815.031,25530.38,27021.883,30062.107,33057.588,35090.029,36872.709,39286.414,37559.643,39948.784,43781.279,43109.045,45083.251,48778.249,54383.642,58821.725,64060.631,68805.058,67735.223,66212.815,75400.453,80052.391,82064.961,83001.788,84423.191,86974.748,89501.716,95329.781,100470.226,102352.823,100002.702,119608.74,128617.354,128349.16,133737.469,138289.595,143475.488,148695.136,154057.515,159890.43
Slovak Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8240.201,8888.36,9734.611,10578.93,11301.004,11874.592,12017.074,12420.512,13161.869,13968.733,15039.239,16267.918,17886.676,20003.383,22769.743,24488.988,23268.38,25095.677,26287.775,27010.312,28032.318,29043.607,30075.742,29759.469,30983.988,32924.003,34271.387,33519.949,36722.918,40181.006,42170.47,44080.598,46033.929,48237.864,50513.612,52911.511,55447.97
Slovenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11208.96,11855.179,12750.084,13549.286,14233.596,15235.276,15928.426,17071.792,18013.897,18989.67,19921.523,20905.54,22387.833,23952.974,26035.279,28507.329,30077.928,27674.831,28184.947,28968.766,29066.166,29990.243,30883.368,31646.714,33946.557,36680.185,39173.149,40955.805,39453.319,44379.865,48714.93,51054.711,53286.733,55566.686,58139.791,60845.72,63687.874,66682.426
Solomon Islands,967.062,1005.209,1015.317,1061.182,1067.29,1034.664,1022.969,1104.758,1126.199,1186.888,1223.706,1303.746,1460.807,1511.74,1622.391,1772.741,1783.424,1748.014,1741.437,1709.842,1458.709,1336.336,1284.311,1358.956,1451.097,1541.098,1627.381,1706.535,1799.324,1814.35,1946.714,2077.494,2089.003,2176.082,2180.139,2177.75,2259.503,2308.901,2364.082,2383.85,2275.669,2381.69,2547.176,2651.824,2712.614,2761.494,2817.038,2882.201,2949.569,3019.76
Somalia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1230.512,1116.2,1280.88,1489.539,1627.313,1703.055,1745.356,1788.927,1718.048,1805.694,1925.93,1996.133,2062.174,2121.008,2186.208,2255.661,2331.838,2415.693
South Africa,5110.125,5745.29,5922.07,5886.489,6250.739,6221.544,6206.789,6356.644,6713.06,6990.457,7067.897,7059.854,6890.918,6966.419,7172.695,7391.532,7705.448,7909.08,7916.239,8100.119,8502.715,8767.995,9108.051,9469.637,10058.852,10796.224,11610.662,12399.897,12857.165,12548.485,12887.181,13361.588,13191.404,13590.776,13594.671,13696.845,13737.623,13838.851,14167.569,14237.396,13372.46,14516.491,15714.954,16139.643,16423.65,16661.981,16950.892,17249.716,17554.156,17867.545
"South Sudan, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3128.898,1341.084,1577.529,1488.105,1409.845,851.581,458.77,445.386,443.007,407.485,436.229,430.252,433.063,455.157,480.724,500.914,522.458,546.463,572.417
Spain,7819.354,8444.069,9028.581,9492.63,9962.533,10483.332,11029.53,11920.284,12965.27,14119.801,15185.051,16052.543,16503.487,16620.937,17325.517,18374.841,19120.069,20148.386,21211.034,22416.165,23880.729,25246.885,25920.805,26722.328,27860.794,29235.933,30878.889,32223.444,32597.784,31302.023,31601.897,31872.363,31724.784,32463.125,33558.979,34954.853,37329.293,39647.785,41308.037,42492.026,38044.067,42356.615,47669.667,50436.18,52012.448,53440.743,54864.959,56254.7,57737.175,59325.786
Sri Lanka,1087.462,1237.268,1365.286,1448.867,1585.07,1699.535,1790.253,1842.918,1939.93,2040.761,2225.22,2518.887,2467.232,2686.072,2936.099,3153.177,3577.037,3990.671,3949.076,4098.48,4516.464,4496.086,4698.658,5033.386,5404.312,5873.866,6469.348,7044.001,7552.866,7813.828,8484.484,9347.188,10618.569,11243.811,11706.821,12208.012,13056.641,13584.193,14068.105,14185.646,13635.746,14603.921,14254.96,no data,no data,no data,no data,no data,no data,no data
Sudan,1080.434,1220.804,1311.563,1305.421,1219.447,1216.116,1326.688,1407.994,1491.342,1532.903,1507.069,1618.463,1696.558,1733.151,1780.467,2049.657,2151.219,2273.182,2438.088,2526.438,2737.274,3025.255,3175.173,3349.298,3524.367,3750.298,4014.088,4248.812,4383.286,4179.586,4282.263,5197.992,3929.483,3934.82,4509.179,4438.092,5569.196,4705.146,4568.106,4399.045,4186.502,4288.837,4362.606,3600.557,3442.973,3599.327,3838.727,4078.95,4253.277,4414.819
Suriname,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6979.218,6137.238,6435.527,6357.769,5958.991,6681.694,7465.842,8018.575,8177.331,8109.531,8175.162,8652.853,9011.094,9592.945,10385.045,11109.46,11976.024,12766.633,13368.017,13670.935,14337.311,15338.813,16756.792,17770.741,18162.753,16962.256,14779.423,17885.752,18976.272,19262.212,16105.21,16185.335,17478.623,18225.517,18927.784,19536.906,20192.748,20871.361,21573.21,22303.124
