"GDP per capita, current prices (Purchasing power parity; international dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Bosnia and Herzegovina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3028.21,3811.737,4391.742,4918.162,5241.763,5480.551,5840.751,6184.225,6742.494,7242.693,7886.768,8598.471,9274.067,9299.725,9566.914,9971.438,10292.31,11038.037,11268.419,11850.474,12758.49,13420.36,14286.046,14966.447,14723.69,16565.414,18523.669,19595.083,20622.798,21678.741,22809.341,24006.918,25268.091,26608.856
Botswana,2172.192,2524.935,2995.889,3326.332,3540.187,3793.217,4053.743,4603.824,5675.049,5956.206,6480.176,6911.246,6854.891,7100.636,7007.417,7567.131,7710.625,8214.572,8003.259,8603.29,9018.674,9251.086,9906.596,10461.522,10704.12,11382.243,12209.724,13008.79,13415.445,11353.247,12396.266,13248.849,12323.009,13102.863,14338.574,13420.507,15277.042,14656.773,15304.831,15723.895,14274.603,16429.552,18307.065,19260.219,20096.72,21052.745,21968.356,22930.733,23953.353,25025.689
Brazil,4709.264,4820.275,5037.577,4949.465,5287.481,5765.008,6199.126,6456.108,6579.184,6932.608,6842.69,7125.147,7136.103,7524.91,7969.051,8364.781,8457.838,8758.333,8750.339,8817.647,9329.142,9537.69,9853.592,10038.542,10773.624,11335.482,12013.513,12951.145,13729.896,13638.593,14674.908,15491.011,15555.589,16168.598,16352.308,15379.878,14915.414,15242.718,15788.354,16169.738,15772.988,17192.68,18861.05,20000.59,20809.091,21513.081,22258.666,23011.596,23791.273,24601.703
Brunei Darussalam,no data,no data,no data,no data,no data,55629.715,54135.276,54776.013,55525.1,55947.004,57029.106,59159.474,61793.315,61988.95,63538.533,66313.308,67772.646,66306,64996.404,66341.782,68080.56,69795.15,72053.558,74234.643,75332.088,76646.564,81127.464,82213.015,81076.412,79061.748,80680.361,84000.997,88311.672,84019.147,81806.01,62921.9,56638.26,60719.948,60691.625,62051.271,64907.419,66968.05,70354.241,73944.518,77534.333,80889.602,84818.71,89060.239,93306.35,97794.271
Bulgaria,4681.811,5380.446,5935.799,6337.387,6856.075,7195.027,7731.333,8306.405,8829.285,9169.77,8702.105,8097.07,7663.015,7013.792,6983.448,7095.636,7681.709,6763.055,7148.14,6672.168,7064.063,7744.88,8375.159,9039.081,9937.677,11032.661,12208.962,13442.535,14605.737,14284.379,14797.982,15792.81,16375.134,16694.059,17669.512,18453.256,20137.064,21604.834,22857.415,24347.808,23810.562,27114.49,31993.352,33975.665,35963.358,37895.462,39980.829,42067.77,44303.297,46596.492
Burkina Faso,363.919,399.446,419.667,420.147,431.099,482.389,516.45,513.778,547.867,566.457,569.008,625.598,625.743,646.479,652.316,686.244,756.21,797.117,841.529,889.614,899.696,951.42,977.733,1041.974,1083.375,1176.494,1248.997,1295.681,1356.709,1364.906,1454.785,1536.809,1568.067,1629.318,1637.928,1657.916,1833.356,1977.062,2097.048,2189.232,2199.039,2392.268,2535.124,2646.793,2780.669,2911.895,3029.341,3149.925,3276.258,3409.303
Burundi,313.745,374.235,381.979,399.964,403.227,451.759,462.285,485.579,512.964,524.891,547.327,581.511,584.125,561.65,542.28,500.426,460.346,462.623,481.498,479.607,484.668,489.157,493.639,503.786,521.181,558.46,589.174,607.791,628.866,635.885,655.613,675.193,684.554,734.995,772.157,838.038,793.743,770.707,777.723,781.891,771.719,808.037,855.078,883.314,915.879,953.304,999.984,1048.578,1094.637,1137.343
Cabo Verde,809.087,945.862,1013.998,1130.839,1190.566,1306.482,1342.818,1405.958,1510.872,1624.125,1658.817,1698.778,1748.019,1874.769,2054.268,2196.688,2328.91,2491.314,2671.395,2966.799,3188.702,3393.255,3561.286,3835.821,4066.59,4373.246,4855.452,5678.377,6128.582,6009.622,6127.524,6426.701,6282.417,6249.366,6212.843,6468.241,6923.321,7373.157,7859.343,8445.807,6697.125,7310.337,9056.476,9720.544,10304.205,10852.81,11432.15,12038.754,12666.373,13331.224
Cambodia,no data,no data,no data,no data,no data,no data,no data,640.417,706.256,736.076,747.706,803.606,849.445,873.277,925.75,970.14,1015.845,1045.968,1079.824,1205.848,1322.233,1428.683,1517.116,1678.864,1856.865,2135.146,2402.784,2680.912,2889.864,2977.75,3116.284,3357.742,3744.693,4078.335,4328.656,4673.206,5018.041,5347.284,5854.622,6322.568,6080.177,6455.083,7153.864,7708.136,8287.357,8860.986,9483.111,10136.036,10814.668,11512.522
Cameroon,1262.858,1572.319,1746.591,1887.539,2046.741,2223.352,2357.136,2298.056,2129.545,2109.894,1991.97,1922.606,1850.063,1780.429,1721.741,1766.461,1835.758,1913.085,1974.02,2026.535,2083.784,2144.833,2223.898,2318.238,2469.38,2508.913,2605.403,2710.36,2764.415,2776.826,2814.652,2892.448,2958.693,3129.859,3312.54,3395.629,3527.165,3665.118,3799.302,3893.342,3866.011,4086.367,4419.74,4646.708,4841.573,5024.212,5220.659,5429.035,5650.61,5881.412
